n_prediction,n_control,seed,hour,tau_Pa,phi_sen,rho_bar,varphi_bar_deg
3,2,61,6,1.994861911,0.2089650774,2.0867565,26.34075093
3,3,42,0,,0.2011173184,1.920111732,45
3,3,42,1,1.637526655,0.2013493666,1.956364634,40.92415904
3,3,42,2,1.965832947,0.2027483708,1.990030472,37.15249112
3,3,42,3,2,0.2043172952,2.019477628,33.85733639
3,3,42,4,2,0.205879356,2.045096755,30.99275781
3,3,42,5,2,0.2074347469,2.067378744,28.50353215
3,3,42,6,1.994764266,0.2089563505,2.086733569,26.34323246
3,3,43,0,,0.2011173184,1.920111732,45
3,3,43,1,1.637894764,0.2013280578,1.956366525,40.92370663
3,3,43,2,1.966751186,0.2027004377,1.990036479,37.15127602
3,3,43,3,2,0.2042372816,2.019485348,33.8555678
3,3,43,4,2,0.2057678191,2.045108112,30.99022537
3,3,43,5,2,0.2072922311,2.06739524,28.50007312
3,3,43,6,1.996416659,0.2087921277,2.086762034,26.33818261
3,3,44,0,,0.2011173184,1.920111732,45
3,3,44,1,1.63765388,0.2013419904,1.956365287,40.92400259
3,3,44,2,1.966150815,0.2027317813,1.990032551,37.15207058
3,3,44,3,2,0.2042895917,2.0194803,33.85672414
3,3,44,4,2,0.2058407272,2.045100687,30.99188089
3,3,44,5,2,0.2073853771,2.067384457,28.50233406
3,3,44,6,1.995334588,0.2088994494,2.086743423,26.34148369
3,3,45,0,,0.2011173184,1.920111732,45
3,3,45,1,1.638008702,0.201321498,1.956367111,40.92356682
3,3,45,2,1.967035513,0.2026856697,1.990038338,37.15090073
3,3,45,3,2,0.2042126209,2.019487733,33.85502197
3,3,45,4,2,0.2057334269,2.045111619,30.98944392
3,3,45,5,2,0.2072482652,2.067400332,28.49900558
3,3,45,6,1.996933787,0.2087414538,2.086770846,26.3366212
3,3,46,0,,0.2011173184,1.920111732,45
3,3,46,1,1.637045725,0.2013772195,1.956362162,40.92475054
3,3,46,2,1.964635966,0.2028109778,1.990022621,37.1540786
3,3,46,3,2,0.2044218914,2.019467541,33.85964789
3,3,46,4,2,0.2060252294,2.045081909,30.99606905
3,3,46,5,2,0.2076212016,2.067357172,28.50805664
3,3,46,6,1.992622947,0.2091712099,2.086696389,26.34983238
3,3,47,0,,0.2011173184,1.920111732,45
3,3,47,1,1.638036889,0.2013198607,1.956367256,40.92353217
3,3,47,2,1.967105143,0.2026819887,1.990038795,37.15080797
3,3,47,3,2,0.2042064985,2.019488321,33.85488694
3,3,47,4,2,0.2057249178,2.045112484,30.98925085
3,3,47,5,2,0.207237423,2.067401587,28.49874243
3,3,47,6,1.997058099,0.2087289812,2.086773002,26.33623829
3,3,48,0,,0.2011173184,1.920111732,45
3,3,48,1,1.637413263,0.2013559207,1.956364051,40.9242984
3,3,48,2,1.965551212,0.2027631084,1.990028624,37.1528648
3,3,48,3,2,0.2043419054,2.019475254,33.85788035
3,3,48,4,2,0.2059136682,2.045093262,30.99353681
3,3,48,5,2,0.2074785942,2.06737367,28.5045963
3,3,48,6,1.994259277,0.2090068759,2.086724821,26.34478495
3,3,49,0,,0.2011173184,1.920111732,45
3,3,49,1,1.63713107,0.2013723001,1.956362602,40.92464566
3,3,49,2,1.964848828,0.2027999097,1.990024018,37.15379696
3,3,49,3,2,0.2044033518,2.019469333,33.85923771
3,3,49,4,2,0.205999316,2.045084547,30.99548072
3,3,49,5,2,0.2075880097,2.067361011,28.50725136
3,3,49,6,1.993008589,0.2091329172,2.086703031,26.34865429
3,3,50,0,,0.2011173184,1.920111732,45
3,3,50,1,1.63690531,0.2013854064,1.956361442,40.92492359
3,3,50,2,1.964285958,0.2028293577,1.990020326,37.15454364
3,3,50,3,2,0.2044525876,2.019464588,33.86032544
3,3,50,4,2,0.2060680171,2.04507756,30.9970397
3,3,50,5,2,0.207675861,2.067350852,28.50938256
3,3,50,6,1.992002241,0.2092341573,2.086685519,26.35176335
3,3,51,0,,0.2011173184,1.920111732,45
3,3,51,1,1.637116967,0.2013731216,1.95636253,40.92466303
3,3,51,2,1.964812857,0.2028017601,1.990023784,37.1538441
