kind,label,morph,gamma_min,alpha_gamma,tau_opt,config,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,n_violations,rmse_phi_sen,rmse_rho_bar,rmse_varphi_bar_deg,solver_success_rate
oat,tau_opt:high,,,,1.68,closed,46,13.31471432,0.2031472814,2.087132368,26.23301548,0,0.003480027699,0.0003184669554,0.07368157513,1.0
oat,tau_opt:high,,,,1.68,open,46,13.31510514,0.2031296908,2.087106395,26.23573956,0,0.003488863514,0.0003049582492,0.0722711549,1.0
oat,tau_opt:high,,,,1.68,closed,47,13.30592599,0.2028627084,2.087263185,26.21509719,0,0.003446707766,0.0003157977178,0.07302267856,1.0
oat,tau_opt:high,,,,1.68,open,47,13.3063071,0.2028452342,2.087237657,26.21777243,0,0.003455468321,0.0003025320138,0.07163884858,1.0
oat,tau_opt:high,,,,1.68,closed,48,13.31145034,0.203041554,2.087180891,26.22636723,0,0.003467752573,0.0003174839251,0.07343890891,1.0
oat,tau_opt:high,,,,1.68,open,48,13.31183753,0.2030240066,2.087155087,26.22907284,0,0.003476561296,0.0003040662342,0.07203842897,1.0
oat,tau_opt:high,,,,1.68,closed,49,13.3139551,0.2031227647,2.087143737,26.23146073,0,0.003477184978,0.0003182313464,0.07362449734,1.0
oat,tau_opt:high,,,,1.68,open,49,13.31434487,0.2031051935,2.087117818,26.23417886,0,0.003486010386,0.0003047513195,0.07221715973,1.0
oat,tau_opt:high,,,,1.68,closed,50,13.31596499,0.2031878711,2.087113863,26.23555392,0,0.003484704594,0.0003188349491,0.07377327731,1.0
oat,tau_opt:high,,,,1.68,open,50,13.31635702,0.2031702714,2.087087836,26.238284,0,0.003493546756,0.0003052971163,0.07235965697,1.0
oat,tau_opt:high,,,,1.68,closed,51,13.31408287,0.2031268766,2.087141806,26.23172415,0,0.003477664788,0.000318272892,0.07363432733,1.0
oat,tau_opt:high,,,,1.68,open,51,13.31447286,0.2031093001,2.087115875,26.23444364,0,0.003486492854,0.0003047863963,0.07222630344,1.0
morph,morph=6h,6.0,,,,closed,42,12.26466764,0.2081532379,2.109259053,23.80008041,0,0.0001648480959,0.01825513237,2.055365463,1.0
morph,morph=6h,6.0,,,,open,42,12.26280571,0.2084504609,2.109486897,23.77779174,0,0,0.01837464336,2.067147378,1.0
morph,morph=6h,6.0,,,,closed,43,12.26081169,0.2080301327,2.109319192,23.79192989,0,0.0001644159636,0.01826137605,2.05606328,1.0
morph,morph=6h,6.0,,,,open,43,12.25895402,0.2083266581,2.109546547,23.76968838,0,0,0.01838060975,2.067818597,1.0
morph,morph=6h,6.0,,,,closed,44,12.26333254,0.2081106241,2.109279884,23.79725757,0,0.0001647002138,0.01825729376,2.055607048,1.0
morph,morph=6h,6.0,,,,open,44,12.26147208,0.2084076082,2.10950756,23.77498513,0,0,0.01837670973,2.067379845,1.0
morph,morph=6h,6.0,,,,closed,45,12.25962081,0.2079921558,2.109337836,23.78940524,0,0.0001642694557,0.01826331742,2.05628012,1.0
morph,morph=6h,6.0,,,,open,45,12.25776458,0.2082884468,2.109565029,23.7671793,0,0,0.01838245619,2.068026322,1.0
morph,morph=6h,6.0,,,,closed,46,12.26970552,0.2083136217,2.109180434,23.81072944,0,0.0001657186383,0.01824674104,2.054431396,1.0
morph,morph=6h,6.0,,,,open,46,12.26783585,0.2086121504,2.109409094,23.7883636,0,0,0.01836685964,2.06627171,1.0
morph,morph=6h,6.0,,,,closed,47,12.25932714,0.2079827436,2.109342368,23.78878946,0,0.0001642299861,0.01826379328,2.056333235,1.0
morph,morph=6h,6.0,,,,open,47,12.25747127,0.2082789708,2.109569517,23.76656774,0,0,0.0183829069,2.068077027,1.0
morph,morph=6h,6.0,,,,closed,48,12.26585275,0.2081910818,2.10924059,23.80258326,0,0.0001649797566,0.01825321546,2.055151211,1.0
morph,morph=6h,6.0,,,,open,48,12.26398952,0.2084885186,2.109468585,23.78028002,0,0,0.01837281119,2.066941259,1.0
morph,morph=6h,6.0,,,,closed,49,12.26880779,0.2082854814,2.109194668,23.80881157,0,0.0001653262958,0.01824842972,2.054616548,1.0
morph,morph=6h,6.0,,,,open,49,12.26694121,0.2085834719,2.109423045,23.78647152,0,0,0.0183682511,2.066428248,1.0
